encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.7526662313635869,0.8273674671499773,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7481708899436618,0.8296164139161463,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.771939554260808,0.8250950570342205,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7427400654628862,0.8273413226808699,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7460669250581102,0.7381351200446677,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7445210410440577,0.8303886925795053,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7350406422394669,0.8341191598799829,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7410930292908746,0.8267611874169252,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7208702713110157,0.7160356347438753,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7385119052601913,0.8302051505892624,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7559582109043423,0.8149197355996223,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7529787566516264,0.8331846565566459,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7437187997912778,0.8240574506283662,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.750664116237084,0.8330373001776199,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7136731208719456,0.8235294117647058,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7432744278973467,0.8286852589641435,binary,custom,deeploc
